Date,Bitcoin
2016-07-10,3.0
2016-07-11,3.0
2016-07-12,3.0
2016-07-13,3.0
2016-07-14,3.0
2016-07-15,3.0
2016-07-16,3.0
2016-07-17,3.0
2016-07-18,3.0
2016-07-19,3.0
2016-07-20,3.0
2016-07-21,3.0
2016-07-22,3.0
2016-07-23,3.0
2016-07-24,3.0
2016-07-25,3.0
2016-07-26,3.0
2016-07-27,3.0
2016-07-28,3.0
2016-07-29,3.0
2016-07-30,3.0
2016-07-31,3.0
2016-08-01,2.0
2016-08-02,6.666666666666664
2016-08-03,23.33333333333333
2016-08-04,7.333333333333332
2016-08-05,4.333333333333332
2016-08-06,2.666666666666666
2016-08-07,4.666666666666666
2016-08-08,4.0
2016-08-09,2.0
2016-08-10,1.0
2016-08-11,1.0
2016-08-12,0.0
2016-08-13,0.33333333333333215
2016-08-14,0.0
2016-08-15,1.0
2016-08-16,1.0
2016-08-17,1.666666666666666
2016-08-18,0.6666666666666661
2016-08-19,1.666666666666666
2016-08-20,0.0
2016-08-21,0.33333333333333215
2016-08-22,0.33333333333333215
2016-08-23,1.3333333333333321
2016-08-24,1.0
2016-08-25,1.3333333333333321
2016-08-26,0.6666666666666661
2016-08-27,1.0
2016-08-28,0.0
2016-08-29,0.0
2016-08-30,0.33333333333333215
2016-08-31,1.0
2016-09-01,2.0
2016-09-02,2.0
2016-09-03,2.0
2016-09-04,2.0
2016-09-05,2.0
2016-09-06,2.0
2016-09-07,2.0
2016-09-08,2.0
2016-09-09,2.0
2016-09-10,2.0
2016-09-11,2.0
2016-09-12,2.0
2016-09-13,2.0
2016-09-14,2.0
2016-09-15,2.0
2016-09-16,2.0
2016-09-17,2.0
2016-09-18,2.0
2016-09-19,2.0
2016-09-20,2.0
2016-09-21,2.0
2016-09-22,2.0
2016-09-23,2.0
2016-09-24,2.0
2016-09-25,2.0
2016-09-26,2.0
2016-09-27,2.0
2016-09-28,2.0
2016-09-29,2.0
2016-09-30,2.0
2016-10-01,3.0
2016-10-02,3.2121212121212124
2016-10-03,3.0606060606060606
2016-10-04,3.0606060606060606
